Metric,Value
Average Potions Used,5289.53
Minimum Potions Used,5013
Maximum Potions Used,5571

Potion Type,Average,Minimum,Maximum
AAA,629.92,515,761
MMM,629.67,513,754
LLL,629.62,530,732
MMA,503.72,393,610
MML,503.69,413,602
AAM,503.83,399,615
ALA,503.73,415,614
MLL,503.78,423,606
ALL,503.79,415,589
MAL,377.77,303,455

Target Resource,Average,"Minimum (MOX,AGA,LYE)","Maximum (MOX,AGA,LYE)"
MOX,70522.22,"64512.0,66584.0,70532.0","77686.0,74914.0,70532.0"
AGA,70532.06,"67662.0,64064.0,70504.0","73570.0,77154.0,70560.0"
LYE,70522.93,"68838.0,70504.0,70504.0","71008.0,71540.0,70574.0"
